TN Code,MC,LC,TN Raise Date,Exchange Type,Organization Name,Organization Type,Business Type,Issue Type,Earliest Start Date,Latest End Date,Internship Focus,Primary fow,Background in primary field of work,secondary fow,Background in secondary field of work,Languages,Skills,Workfield,Master Issues,Sub Issues,Link,entry_id
TN-In-IN-DU-2014-7978,INDIA,AIESEC DELHI UNIVERSITY,04-02-2014-06:25:17 PM,Global Internship,MPG STONE,Company,"Advertising, Public Relations or Marketing",,02-14-2014,01-09-2015,-,Marketing," Retail + Sales Marketing, Import & Export, Advertising + Public Relations, International Marketing, Market Research & Evaluation",Business Administration, International Management, Russian(None),"Organisational Management,Marketing / Selling skills,PC User Skills,Internet User Skills","Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100227575,2467
TN-In-IN-HY-2014-7291,INDIA,AIESEC HYDERABAD,19-02-2014-07:52:20 PM,Global Internship,Surana Ventures Limited,Company,Energy & Utilities,,03-23-2014,09-23-2014,-,Marketing, International Marketing,Business Administration,-," English(Excellent), German(Good)","Organisational Management,Team Management,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills","Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230092,2485
TN-In-IN-HY-2014-7293,INDIA,AIESEC HYDERABAD,19-02-2014-08:21:49 PM,Global Internship,Surana Ventures Limited,Company,Energy & Utilities,,03-23-2014,09-23-2014,-,Marketing, International Marketing,Business Administration,-," English(None), German(None)","Organisational Management,Team Management,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills","Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230094,2486
TN-In-IN-BA-2014-5924,INDIA,AIESEC BANGALORE,09-02-2014-01:43:30 PM,Global Internship,The Leela Palace,Company,"Hospitality, Tourism & Leisure",,05-01-2014,04-30-2015,-,Business Administration, Hotel + Restaurant Management,-,-," English(Excellent), French(None), Portuguese(None), Spanish(None)","PC User Skills,Internet User Skills",Business Administration,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228239,2489
TN-In-IN-JO-2014-7,INDIA,AIESEC JODHPUR,09-02-2014-10:13:04 PM,Global Internship,Lariya Art Palace Private Limited,Company,Industrial Manufacturing,,06-01-2014,12-08-2014,-,Arts & Architecture, Arts,"Other Technical Subjects,Engineering"," Construction, Introductory Engineering", English(Good),"Team Management,Project Management,PC User Skills,Internet User Skills,3D Max,Auto-CAD,Client Servicing Skills,Wood Construction,Process Engineering","Other Technical Subjects,Engineering,Arts & Architecture",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228250,2490
TN-In-IN-JO-2014-8,INDIA,AIESEC JODHPUR,09-02-2014-11:22:03 PM,Global Internship,Evergreen International LTD,Company,Industrial Manufacturing,,04-02-2014,10-08-2014,-,Arts & Architecture," Arts, Fashion & Design","Other Technical Subjects,Engineering", Industrial Engineering, English(Good),"PC User Skills,Internet User Skills,Corel Draw,Process Engineering,Wood Construction,Process Engineering","Other Technical Subjects,Engineering,Arts & Architecture",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228251,2491
TN-In-IN-MC-2014-3270,INDIA,INDIA,14-02-2014-07:55:24 AM,Global Internship,Microsoft Research Lab,Company,Information Technology (Computer) Services,,03-02-2014,05-22-2014,-,Information Technology," Gaming, Software Development and Programming, Systems Analysis and Design","Business Administration,Engineering",-, English(Excellent),"Driver's licence,Windows Operating Systems,PC User Skills,Internet User Skills,Microsoft Access,Microsoft Business Solution","Business Administration,Information Technology,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228798,2492
TN-In-IN-MC-2014-3272,INDIA,INDIA,14-02-2014-08:00:24 AM,Global Internship,Microsoft Research Lab,Company,Information Technology (Computer) Services,,03-02-2014,05-22-2014,-,Information Technology," Gaming, Software Development and Programming, Systems Analysis and Design","Business Administration,Engineering",-, English(Excellent),"Driver's licence,Windows Operating Systems,PC User Skills,Internet User Skills,Microsoft Access,Microsoft Business Solution","Business Administration,Information Technology,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228800,2493
TN-In-IN-MC-2014-3273,INDIA,INDIA,14-02-2014-08:00:24 AM,Global Internship,Microsoft Research Lab,Company,Information Technology (Computer) Services,,03-02-2014,05-22-2014,-,Information Technology," Gaming, Software Development and Programming, Systems Analysis and Design","Business Administration,Engineering",-, English(Excellent),"Driver's licence,Windows Operating Systems,PC User Skills,Internet User Skills,Microsoft Access,Microsoft Business Solution","Business Administration,Information Technology,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228801,2494
TN-In-IN-MC-2014-3275,INDIA,INDIA,19-02-2014-10:43:27 AM,Global Internship,Microsoft Research Lab,Company,Information Technology (Computer) Services,,03-02-2014,05-22-2014,-,Information Technology," Gaming, Software Development and Programming, Systems Analysis and Design","Business Administration,Engineering",-, English(Excellent),"Driver's licence,Windows Operating Systems,PC User Skills,Internet User Skills,Microsoft Access,Microsoft Business Solution","Business Administration,Information Technology,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229995,2495
TN-In-IN-MC-2014-3276,INDIA,INDIA,19-02-2014-10:43:27 AM,Global Internship,Microsoft Research Lab,Company,Information Technology (Computer) Services,,03-02-2014,05-22-2014,-,Information Technology," Gaming, Software Development and Programming, Systems Analysis and Design","Business Administration,Engineering",-, English(Excellent),"Driver's licence,Windows Operating Systems,PC User Skills,Internet User Skills,Microsoft Access,Microsoft Business Solution","Business Administration,Information Technology,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229996,2496
TN-In-IN-MC-2014-3277,INDIA,INDIA,19-02-2014-10:44:04 AM,Global Internship,Microsoft Research Lab,Company,Information Technology (Computer) Services,,03-02-2014,05-22-2014,-,Information Technology," Gaming, Software Development and Programming, Systems Analysis and Design","Business Administration,Engineering",-, English(Excellent),"Driver's licence,Windows Operating Systems,PC User Skills,Internet User Skills,Microsoft Access,Microsoft Business Solution","Business Administration,Information Technology,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229997,2497
TN-In-IN-JO-2014-9,INDIA,AIESEC JODHPUR,11-02-2014-07:14:30 PM,Global Internship,Latiyal Handicrafts,Company,Consumer Prod. Manufacturers,,03-02-2014,09-09-2014,-,Arts & Architecture," Arts, Fashion & Design",-,-, English(Good),"Community Development,Leadership skills,Presentation skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Photoshop",Arts & Architecture,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228499,2517
TN-In-IN-MC-2014-3269,INDIA,INDIA,14-02-2014-07:27:08 AM,Global Internship,Vectone Mobile,Company,Telecommunications,,03-19-2014,11-29-2014,-,Marketing," Customer Relationship Management, International Marketing, Consumer + Buyer Behaviour, Introductory Marketing, Market Research & Evaluation",-,-," Bulgarian(Good), Chinese(Basic), Dutch(Good), English(Basic), Portuguese(Basic), Lithuanian(Good)","Organisational Management,Team Management,Project Management,Training/ Facilitating skills,Financial Management skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228796,2519
TN-In-IN-DI-2014-8039,INDIA,AIESEC DELHI IIT,11-04-2014-02:20:30 PM,Global Internship,Pie Multilingual Services,Company,Other,,04-29-2014,08-30-2014,-,Communication & Journalism,-,Teaching & Language Education," Linguistics, Foreign Languages Education"," English(Basic), Spanish(Excellent)",Internet User Skills,"Teaching & Language Education,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100244893,2521
TN-In-IN-DI-2014-7918,INDIA,AIESEC DELHI IIT,14-02-2014-11:16:44 AM,Global Internship,Adept Media Pvt. Ltd.,Company,Media,,03-31-2014,01-30-2015,-,Information Technology,-,Communication & Journalism,-, English(Excellent),"PC User Skills,Internet User Skills,Corel Draw,Photoshop","Information Technology,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228810,2544
TN-In-IN-DI-2014-7921,INDIA,AIESEC DELHI IIT,14-02-2014-06:15:20 PM,Global Internship,Climate Connect,Company,Information Technology (Computer) Software,,04-30-2014,07-31-2014,-,Information Technology," Web Development and Management, Software Development and Programming, Systems Analysis and Design",-,-, English(Native),"UNIX/Linux OS,Java,PC User Skills,Internet User Skills,Javascript,Ajax,CSS,HTML 5,Ruby on Rails,Struts,jQuery,Worldpress,Drupal",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228925,2551
TN-In-IN-DI-2014-7924,INDIA,AIESEC DELHI IIT,15-02-2014-04:23:52 AM,Global Internship,metawing,Company,Information Technology (Computer) Software,,04-14-2014,11-29-2014,-,Marketing," Retail + Sales Marketing, Market Research & Evaluation, Customer Relationship Management, Introductory Marketing",-,-, English(Excellent),"Community Development,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229003,2552
TN-In-IN-DI-2014-7944,INDIA,AIESEC DELHI IIT,28-02-2014-07:58:49 PM,Global Internship,metawing,Company,Information Technology (Computer) Software,,04-14-2014,11-29-2014,-,Marketing," Retail + Sales Marketing, Market Research & Evaluation, Customer Relationship Management, Introductory Marketing",-,-, English(Excellent),"Community Development,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100231776,2553
TN-In-IN-DU-2014-8019,INDIA,AIESEC DELHI UNIVERSITY,15-02-2014-02:31:01 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,02-28-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), Portuguese(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229065,2554
TN-In-IN-DU-2014-8021,INDIA,AIESEC DELHI UNIVERSITY,15-02-2014-05:39:49 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,02-28-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), Japanese(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229099,2555
TN-In-IN-DU-2014-8022,INDIA,AIESEC DELHI UNIVERSITY,15-02-2014-05:41:43 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,02-28-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), German(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229100,2556
TN-In-IN-DU-2014-8023,INDIA,AIESEC DELHI UNIVERSITY,15-02-2014-05:56:40 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,02-28-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), French(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229132,2557
TN-In-IN-DU-2014-8112,INDIA,AIESEC DELHI UNIVERSITY,07-03-2014-02:37:45 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,03-14-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), French(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100233228,2558
TN-In-IN-DU-2014-8113,INDIA,AIESEC DELHI UNIVERSITY,07-03-2014-02:43:58 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,03-14-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), German(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100233229,2559
TN-In-IN-DU-2014-8114,INDIA,AIESEC DELHI UNIVERSITY,07-03-2014-02:45:11 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,03-14-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), Japanese(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100233230,2560
TN-In-IN-DU-2014-8115,INDIA,AIESEC DELHI UNIVERSITY,07-03-2014-02:47:07 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,03-14-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), Portuguese(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100233231,2561
TN-In-IN-DU-2014-8234,INDIA,AIESEC DELHI UNIVERSITY,02-04-2014-11:06:49 AM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,04-19-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), Portuguese(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242002,2562
TN-In-IN-DU-2014-8235,INDIA,AIESEC DELHI UNIVERSITY,02-04-2014-11:06:50 AM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,04-19-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," English(Excellent), Italian(Native)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242003,2563
TN-In-IN-DU-2014-8237,INDIA,AIESEC DELHI UNIVERSITY,02-04-2014-11:14:37 AM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,04-19-2014,10-19-2014,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation"," Chinese, Mandarin(Good), English(Excellent)","Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242005,2564
TN-In-IN-DU-2014-8239,INDIA,AIESEC DELHI UNIVERSITY,09-04-2014-03:58:00 PM,Global Internship,EXEVO INDIA PVT LTD.,Company,"Advertising, Public Relations or Marketing",,04-09-2014,02-28-2015,-,Information Technology, Telecommunications,Marketing," Customer Relationship Management, International Marketing, Advertising + Public Relations, Retail + Sales Marketing, Market Research & Evaluation", English(Native),"Windows Operating Systems,MacOS,Marketing / Selling skills,PC User Skills,Internet User Skills","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100244356,2565
TN-In-IN-JA-2014-8331,INDIA,AIESEC JAIPUR,17-02-2014-11:41:45 AM,Global Internship,Jaipur Watch,Company,Other,,02-28-2014,06-30-2014,-,Marketing," Retail + Sales Marketing, Market Research & Evaluation, Brand & Trademark Management, Introductory Marketing",-,-, English(Excellent),"Team Management,Leadership skills,Financial Management skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229624,2567
TN-In-IN-BA-2014-5929,INDIA,AIESEC BANGALORE,17-02-2014-05:52:47 PM,Global Internship,Dhruva Interactive,Company,Architecture and Design,,03-16-2014,03-15-2015,-,Other Technical Subjects,-,-,-, English(Excellent),"Windows Operating Systems,PC User Skills,Internet User Skills,Photoshop",Other Technical Subjects,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229738,2568
TN-In-IN-BA-2014-5930,INDIA,AIESEC BANGALORE,17-02-2014-06:10:05 PM,Global Internship,Dhruva Interactive,Company,Architecture and Design,,03-16-2014,03-15-2015,-,Other Technical Subjects,-,-,-, English(Excellent),"Windows Operating Systems,PC User Skills,Internet User Skills,Photoshop",Other Technical Subjects,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229747,2569
TN-In-IN-BA-2014-6169,INDIA,AIESEC BANGALORE,02-05-2014-10:26:52 AM,Global Internship,Dhruva Interactive,Company,Architecture and Design,,05-04-2014,01-03-2015,-,Accounting," Introductory accounting, Cost accounting, Financial accounting",Business Administration, Introduction to Management / Business Administration, English(Excellent),"PC User Skills,Internet User Skills","Accounting,Business Administration",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100251626,2570
TN-In-IN-PU-2014-4334,INDIA,AIESEC PUNE,17-02-2014-03:03:00 PM,Global Internship,Trikke India,Company,"Advertising, Public Relations or Marketing",,02-28-2014,08-31-2014,-,Marketing," Customer Relationship Management, Product Planning, Development & Control, Advertising + Public Relations, Brand & Trademark Management, Introductory Marketing","Business Administration,Human Resources",-, English(Excellent),"Windows Operating Systems,Team Management,Project Management,Training/ Facilitating skills,Leadership skills,Presentation skills,Financial Management skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills,Android","Business Administration,Marketing,Human Resources",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229720,2573
TN-In-IN-PU-2014-4335,INDIA,AIESEC PUNE,17-02-2014-03:19:54 PM,Global Internship,Trikke India,Company,"Advertising, Public Relations or Marketing",,02-28-2014,08-31-2014,-,Marketing," Customer Relationship Management, Product Planning, Development & Control, Advertising + Public Relations, Brand & Trademark Management, Introductory Marketing","Business Administration,Human Resources",-, English(Excellent),"Windows Operating Systems,Team Management,Project Management,Training/ Facilitating skills,Leadership skills,Presentation skills,Financial Management skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills,Android","Business Administration,Marketing,Human Resources",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229726,2574
TN-In-IN-DI-2014-7926,INDIA,AIESEC DELHI IIT,17-02-2014-07:03:49 PM,Global Internship,Sattviko Restaraunts,Company,Food & Beverages,,04-13-2014,07-13-2014,-,Marketing," Retail + Sales Marketing, Market Research & Evaluation, Advertising + Public Relations, Introductory Marketing, Consumer + Buyer Behaviour",-,-, English(Excellent),"Visual Basic,Project Management,Presentation skills,PC User Skills,Internet User Skills,Microsoft Access,Database Design and Development Tools,PeopleSoft",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229749,2577
TN-In-IN-JA-2014-8346,INDIA,AIESEC JAIPUR,26-02-2014-11:05:53 AM,Global Internship,Team 360 Global Pvt Ltd,Company,Arts and culture,,03-31-2014,03-30-2015,-,Arts & Architecture," Graphic Design, Arts, Fashion & Design","Business Administration,Cultural Education", Event Management, English(Excellent),"PC User Skills,3D Max,Auto-CAD,Corel Draw,Photoshop","Business Administration,Cultural Education,Arts & Architecture",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100231188,2583
TN-In-IN-DU-2014-8027,INDIA,AIESEC DELHI UNIVERSITY,18-02-2014-06:10:26 PM,Global Internship,GeTS Holidays Pvt Ltd,Company,"Advertising, Public Relations or Marketing",,03-02-2014,09-02-2015,-,Marketing," Retail + Sales Marketing, Consumer + Buyer Behaviour, Introductory Marketing","Cultural Education,Arts & Architecture", Arts, French(Excellent),Marketing / Selling skills,"Marketing,Cultural Education,Arts & Architecture",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229841,2584
TN-In-IN-DU-2014-8029,INDIA,AIESEC DELHI UNIVERSITY,18-02-2014-06:10:26 PM,Global Internship,GeTS Holidays Pvt Ltd,Company,"Advertising, Public Relations or Marketing",,03-02-2014,09-02-2015,-,Marketing," Retail + Sales Marketing, Consumer + Buyer Behaviour, Introductory Marketing","Cultural Education,Arts & Architecture", Arts, Italian(Excellent),Marketing / Selling skills,"Marketing,Cultural Education,Arts & Architecture",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229843,2585
TN-In-IN-AH-2014-3808,INDIA,AIESEC AHMEDABAD,18-02-2014-07:16:37 PM,Global Internship,Alchemy translations ltd,Company,Consumer Services (Others),,03-31-2014,09-29-2014,-,Communication & Journalism, Introduction to Communications,-,-, French(Excellent),"PC User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229855,2586
TN-In-IN-AH-2014-3809,INDIA,AIESEC AHMEDABAD,18-02-2014-07:16:37 PM,Global Internship,Alchemy translations ltd,Company,Consumer Services (Others),,03-31-2014,09-29-2014,-,Communication & Journalism, Introduction to Communications,-,-, German(Excellent),"PC User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229856,2587
TN-In-IN-AH-2014-3811,INDIA,AIESEC AHMEDABAD,18-02-2014-07:16:37 PM,Global Internship,Alchemy translations ltd,Company,Consumer Services (Others),,03-31-2014,09-29-2014,-,Communication & Journalism, Introduction to Communications,-,-," Chinese, Mandarin(Excellent)","PC User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229858,2588
TN-In-IN-AH-2014-3813,INDIA,AIESEC AHMEDABAD,18-02-2014-07:16:37 PM,Global Internship,Alchemy translations ltd,Company,Consumer Services (Others),,03-31-2014,09-29-2014,-,Communication & Journalism, Introduction to Communications,-,-, Arabic(Excellent),"PC User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229860,2589
TN-In-IN-AH-2014-3815,INDIA,AIESEC AHMEDABAD,18-02-2014-07:16:37 PM,Global Internship,Alchemy translations ltd,Company,Consumer Services (Others),,07-31-2014,01-29-2015,-,Communication & Journalism, Introduction to Communications,-,-, Spanish(Excellent),"PC User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229862,2590
TN-In-IN-AH-2014-3817,INDIA,AIESEC AHMEDABAD,18-02-2014-07:16:37 PM,Global Internship,Alchemy translations ltd,Company,Consumer Services (Others),,03-31-2014,09-29-2014,-,Communication & Journalism, Introduction to Communications,-,-, Japanese(Excellent),"PC User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229864,2591
TN-In-IN-AH-2014-3818,INDIA,AIESEC AHMEDABAD,18-02-2014-07:31:17 PM,Global Internship,Alchemy translations ltd,Company,Consumer Services (Others),,07-31-2014,01-29-2015,-,Communication & Journalism, Introduction to Communications,-,-, Russian(Excellent),"PC User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100229865,2592
TN-In-IN-KT-2014-3810,INDIA,AIESEC KOLKATA,21-03-2014-07:02:37 PM,Global Internship,Natasian,Company,Consumer Prod. Manufacturers,,04-13-2014,10-12-2014,-,Engineering, Mechanical Engineering,Business Administration," Industrial Management, Crisis Management", English(Good),"PC User Skills,Internet User Skills,Engineering Mechanics,Machine Elements","Business Administration,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100237610,2597
TN-In-IN-KT-2014-3719,INDIA,AIESEC KOLKATA,21-02-2014-06:08:15 PM,Global Internship,APTSOURCE SOFTWARE PVT. LTD.,Company,"Advertising, Public Relations or Marketing",,03-14-2014,06-15-2014,-,Marketing," Retail + Sales Marketing, International Marketing, Consumer + Buyer Behaviour, Customer Relationship Management, Product Planning, Development & Control, Market Research & Evaluation",Business Administration,-, English(Good),"Marketing / Selling skills,PC User Skills,Internet User Skills","Business Administration,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230519,2614
TN-In-IN-DI-2014-7930,INDIA,AIESEC DELHI IIT,21-02-2014-07:44:30 PM,Global Internship,Holistic Training Solutions,Company,"Consulting, Audit and Professional Services",,03-31-2014,03-30-2015,-,Business Administration," Introduction to Management / Business Administration, Project Management","Marketing,Communication & Journalism", Public Relations, English(Excellent),"Windows Operating Systems,Project Management,Marketing / Selling skills,PC User Skills,Internet User Skills","Business Administration,Marketing,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230532,2616
TN-In-IN-DI-2014-7989,INDIA,AIESEC DELHI IIT,24-03-2014-05:24:20 PM,Global Internship,Holistic Training Solutions,Company,"Consulting, Audit and Professional Services",,03-31-2014,03-30-2015,-,Communication & Journalism,-,"Marketing,Human Resources", Training and Development, English(Excellent),"Marketing / Selling skills,PC User Skills,Internet User Skills,Adobe,Photoshop","Marketing,Human Resources,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100238494,2617
TN-In-IN-AH-2014-3819,INDIA,AIESEC AHMEDABAD,24-02-2014-11:46:22 AM,Global Internship,Futura Group Industry,Company,"Advertising, Public Relations or Marketing",,03-14-2014,03-14-2015,-,Human Resources,-,"Information Technology,Marketing"," International Marketing, Advertising + Public Relations, Consumer + Buyer Behaviour"," English(Good), Portuguese(Good), Spanish(Good)","Organisational Management,Marketing / Selling skills","Information Technology,Marketing,Human Resources",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230875,2624
